"","vars","sp"
"1","Nightly.Mean.Windsp","EPFU"
"2","Nightly.Mean.Temp,Nightly.Mean.Windsp","LACI"
"3","Nightly.Mean.Windsp,mtime2h.mphase","LANO"
"4","Nightly.Mean.Temp,Nightly.Mean.Windsp,mtime2h.mphase","MYCA"
"5","Nightly.Mean.Windsp","MYCI"
"6","Nightly.Mean.Windsp","MYEV"
"7","Nightly.Mean.Windsp,mtime2h.mphase","MYLU"
"8","Nightly.Mean.RH,Nightly.Mean.Windsp","MYVO"
"9","Nightly.Mean.Windsp,mtime2h.mphase","MYYU"
