"SpeciesGroup","Estimate","SE","p.value"
"EPFU",0.0640958390597711,0.0445201869728052,"p = 0.150"
"LACI",0.00775726261129804,0.0653456315289223,"p = 0.906"
"LANO",0.0374679632278522,0.0369603433075163,"p = 0.311"
"MYCA",0.0613049884116874,0.0630128830390679,"p = 0.331"
"MYCI",0.216952866022119,0.133073914514919,"p = 0.103"
"MYEV",0.0422388154037314,0.0609485785682176,"p = 0.488"
"MYLU",0.159340933196784,0.0388690497784128,"p < .001"
"MYVO",0.117175217510214,0.069871612041071,"p = 0.094"
"MYYU",0.0417632609390966,0.0759372913914815,"p = 0.582"
